[WARN ] 2018-11-06T09:31:40,176Z [Thread-2 (ActiveMQ-server-org.apache.activemq.artemis.core.server.impl.ActiveMQServerImpl$3@3c5cb013)] core.client.fail - AMQ212037: Connection failure has been detected: AMQ119014: Did not receive data from /2a01:4c8:102b:f582:71e2:d233:eb05:4905:59872 within the 60,000ms connection TTL. The connection will now be closed. [code=CONNECTION_TIMEDOUT] {}
[WARN ] 2018-11-06T09:31:25,029Z [HikariPool-1 housekeeper] pool.HikariPool.run - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=11h41m20s102ms). {}
[INFO ] 2018-11-06T09:32:59,145Z [nioEventLoopGroup-2-14] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:32:59,202Z [nioEventLoopGroup-2-16] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:32:59,201Z [nioEventLoopGroup-2-15] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:33:03,123Z [nioEventLoopGroup-2-17] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:33:03,129Z [nioEventLoopGroup-2-18] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:33:03,153Z [nioEventLoopGroup-2-19] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:33:03,155Z [nioEventLoopGroup-2-20] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:33:06,712Z [nioEventLoopGroup-2-22] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:33:06,712Z [nioEventLoopGroup-2-21] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:33:06,728Z [nioEventLoopGroup-2-24] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:33:06,728Z [nioEventLoopGroup-2-23] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:33:10,258Z [nioEventLoopGroup-2-2] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:33:10,258Z [nioEventLoopGroup-2-1] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:33:10,273Z [nioEventLoopGroup-2-3] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:33:10,273Z [nioEventLoopGroup-2-4] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:33:11,942Z [nioEventLoopGroup-2-6] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:33:11,942Z [nioEventLoopGroup-2-5] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:33:11,958Z [nioEventLoopGroup-2-7] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:33:11,958Z [nioEventLoopGroup-2-8] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:33:12,963Z [nioEventLoopGroup-2-10] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:33:12,983Z [nioEventLoopGroup-2-9] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:33:13,034Z [nioEventLoopGroup-2-11] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:33:13,111Z [nioEventLoopGroup-2-12] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:33:14,078Z [nioEventLoopGroup-2-13] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:33:14,126Z [nioEventLoopGroup-2-14] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:33:14,565Z [nioEventLoopGroup-2-15] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:33:14,565Z [nioEventLoopGroup-2-16] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:33:17,103Z [nioEventLoopGroup-2-18] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:33:17,104Z [nioEventLoopGroup-2-17] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:33:17,150Z [nioEventLoopGroup-2-20] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:33:17,150Z [nioEventLoopGroup-2-19] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:33:19,144Z [nioEventLoopGroup-2-22] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:33:19,146Z [nioEventLoopGroup-2-21] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:33:19,217Z [nioEventLoopGroup-2-23] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:33:19,225Z [nioEventLoopGroup-2-24] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:33:20,944Z [nioEventLoopGroup-2-2] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:33:20,944Z [nioEventLoopGroup-2-1] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:33:20,955Z [nioEventLoopGroup-2-4] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:33:20,954Z [nioEventLoopGroup-2-3] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:33:21,968Z [nioEventLoopGroup-2-6] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:33:21,966Z [nioEventLoopGroup-2-5] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:33:22,029Z [nioEventLoopGroup-2-7] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:33:22,035Z [nioEventLoopGroup-2-8] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:33:23,052Z [nioEventLoopGroup-2-9] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:33:23,052Z [nioEventLoopGroup-2-10] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:33:23,078Z [nioEventLoopGroup-2-12] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:33:23,078Z [nioEventLoopGroup-2-11] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:33:24,092Z [nioEventLoopGroup-2-14] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:33:24,091Z [nioEventLoopGroup-2-13] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:33:24,141Z [nioEventLoopGroup-2-15] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:33:24,145Z [nioEventLoopGroup-2-16] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:33:26,648Z [nioEventLoopGroup-2-17] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10006 {}
[INFO ] 2018-11-06T09:33:26,648Z [nioEventLoopGroup-2-18] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
